conversation_id,created_at,date,place,tweet,language,hashtags,cashtags,username,nlikes,nreplies,nretweets,reply_to,clean_tweet,lemma_tweet
1242630104146157568,1585101078000.0,2020-03-24 22:51:18,,"El plebiscito es un despilfarro de dinero, no viene a contribuir en nada.. Ni antes del Coronavirus ni luego el 25 de octubre... Simolente eso no debe ser",es,[],[],PpbPpa,0,0,0,"{'user_id': None, 'username': None}","['plebiscito', 'despilfarro', 'dinero', 'viene', 'contribuir', 'coronavirus', 'luego', '25', 'octubre', 'simolente', 'debe', 'ser']","['plebiscito', 'despilfarro', 'dinero', 'venir', 'contribuir', 'coronavirus', 'luego', '25', 'octubre', 'simolente', 'debe', 'ser']"
1242629870225625088,1585101022000.0,2020-03-24 22:50:22,,"En #Quillota cerca de 50 locales fueron inspeccionados durante esta jornada por la Unidad de Fiscalización, tras el decreto acordado entre el alcalde @doctormella y la Cámara de Comercio, para cerrar a las 14 horas, con el objetivo de minimizar los riesgos del #coronavirus.  https://t.co/WmtTnso0H4",es,"['quillota', 'coronavirus']",[],muniquillota,32,8,8,"{'user_id': None, 'username': None}","['quillota', 'cerca', '50', 'locales', 'inspeccionados', 'jornada', 'unidad', 'fiscalización', 'tras', 'decreto', 'acordado', 'alcalde', 'cámara', 'comercio', 'cerrar', '14', 'horas', 'objetivo', 'minimizar', 'riesgos', 'coronavirus']","['quillota', 'cerca', '50', 'local', 'inspeccionado', 'jornada', 'unidad', 'fiscalización', 'tras', 'decreto', 'acordado', 'alcalde', 'cámara', 'comercio', 'cerrar', '14', 'horas', 'objetivo', 'minimizar', 'riesgo', 'coronavirus']"
1242629291310972933,1585100884000.0,2020-03-24 22:48:04,,Vtr tiene un canal que se llama covid-19 e informa sobre el #CoronaVirusEnChile,es,['coronavirusenchile'],[],terremotin25,0,0,0,"{'user_id': None, 'username': None}","['vtr', 'canal', 'llama', 'covid', '19', 'informa', 'coronavirusenchile']","['vtr', 'canal', 'llama', 'covir', '19', 'informar', 'coronavirusenchile']"
1242628861810139138,1585100782000.0,2020-03-24 22:46:22,,Excelente iniciativa que ojalá se replique en otros lugares! @muniquillota 💕 Con todo para enfrentar al #coronavirus @doctormella  https://t.co/ssTLir6POT,es,['coronavirus'],[],noerestu_soyyo_,0,0,0,"{'user_id': None, 'username': None}","['excelente', 'iniciativa', 'ojalá', 'replique', 'lugares', 'enfrentar', 'coronavirus']","['excelente', 'iniciativa', 'ojalá', 'replique', 'lugar', 'enfrentar', 'coronavirus']"
1242628133137891329,1585100608000.0,2020-03-24 22:43:28,,Es increíble pensar que se va a terminar primero el mundo que #VerdadesOcultas #coronavirus #ToqueDeQueda,es,"['verdadesocultas', 'coronavirus', 'toquedequeda']",[],pamxhiiiita,0,0,0,"{'user_id': None, 'username': None}","['increíble', 'pensar', 'va', 'terminar', 'primero', 'mundo', 'verdadesocultas', 'coronavirus', 'toquedequeda']","['increíble', 'pensar', 'ir', 'terminar', 'primero', 'mundo', 'verdadesocultas', 'coronavirus', 'toquedequeda']"
1242627485407293441,1585100454000.0,2020-03-24 22:40:54,"{'type': 'Point', 'coordinates': [-33.44431581, -70.65273285]}",#Taiga cuidándonos en tiempos de #cuarentena | #MeQuedoEnCasa 💕 . . . #catsofinstagram #catsagram #cats_of_instagram #catlover #cat #catoftheday #catphotography #kittycat #nekogirl #neko #coronavirus #covid_19 #gata…  https://t.co/b9NAiY0cM3,es,"['taiga', 'cuarentena', 'mequedoencasa', 'catsofinstagram', 'catsagram', 'cats_of_instagram', 'catlover', 'cat', 'catoftheday', 'catphotography', 'kittycat', 'nekogirl', 'neko', 'coronavirus', 'covid_19', 'gata']",[],fuani_chan,0,0,0,"{'user_id': None, 'username': None}","['taiga', 'cuidándonos', 'tiempos', 'cuarentena', 'mequedoencasa', 'catsofinstagram', 'catsagram', 'cats_of_instagram', 'catlover', 'cat', 'catoftheday', 'catphotography', 'kittycat', 'nekogirl', 'neko', 'coronavirus', 'covid_19', 'gata']","['taiga', 'cuidándonos', 'tiempo', 'cuarentena', 'mequedoencasa', 'catsofinstagram', 'catsagram', 'cats_of_instagram', 'catlover', 'cat', 'catoftheday', 'catphotography', 'kittycat', 'nekogirl', 'neko', 'coronavirus', 'covid_19', 'gata']"
1242595597334597643,1585100409000.0,2020-03-24 22:40:09,,Las funcionarias de @Carabdechile  haciendo mascarillas por que ya es muy difícil su compra por alta demanda mundial #COVIDー19 #ULTIMAHORA #coronavirus #QuedateEnTuCasa #BoricMaton #8M #Feministas de verdad  https://t.co/hhzK6TlauO,es,"['covidー19', 'ultimahora', 'coronavirus', 'quedateentucasa', 'boricmaton', '8m', 'feministas']",[],MarcoVilIegas,1,0,0,"{'user_id': '69315621', 'username': 'MarcoVilIegas'}","['funcionarias', 'haciendo', 'mascarillas', 'difícil', 'compra', 'alta', 'demanda', 'mundial', 'covidー19', 'ultimahora', 'coronavirus', 'quedateentucasa', 'boricmaton', '8m', 'feministas', 'verdad']","['funcionarias', 'hacendar', 'mascarillas', 'difícil', 'compra', 'alto', 'demanda', 'mundial', 'covidー19', 'ultimahora', 'coronavirus', 'quedateentucasa', 'boricmaton', '8', 'feminista', 'verdad']"
1242626679723429893,1585100261000.0,2020-03-24 22:37:41,"{'type': 'Point', 'coordinates': [-33.43777778, -70.65027778]}",😋😋. Ñomi😉 🍳 in #quarantine #cooking #instagramers #instalike 🙌 be safe ☤ ☮️ #covid_19 #stayhome 😷 will be together 👍#instagram #brauliosalfate 😎 #instamood #24 #arroz #instalike #instaverano #instalikes 😉…  https://t.co/iUySs90sQD,en,"['quarantine', 'cooking', 'instagramers', 'instalike', 'covid_19', 'stayhome', 'instagram', 'brauliosalfate', 'instamood', 'arroz', 'instalike', 'instaverano', 'instalikes']",[],BraulioSalfate,1,0,0,"{'user_id': None, 'username': None}","['ñomi', 'in', 'quarantine', 'cooking', 'instagramers', 'instalike', 'be', 'safe', 'covid_19', 'stayhome', 'will', 'be', 'together', 'instagram', 'brauliosalfate', 'instamood', '24', 'arroz', 'instalike', 'instaverano', 'instalikes']","['ñomi', 'in', 'quarantine', 'cooking', 'instagramers', 'instalike', 'be', 'safe', 'covid_19', 'stayhome', 'will', 'be', 'together', 'instagram', 'brauliosalfate', 'instamood', '24', 'arroz', 'instalike', 'instaverano', 'instalikes']"
1242626656650563590,1585100256000.0,2020-03-24 22:37:36,,Para los que están en #cuarentena ... pueden ver la serie ... “asesinatos de valhalla” ... recomendable! 👏🏻👏🏻👏🏻 #Covid_19 en casa!,es,"['cuarentena', 'covid_19']",[],RGEM82,0,1,0,"{'user_id': None, 'username': None}","['cuarentena', 'pueden', 'ver', 'serie', 'asesinatos', 'valhalla', 'recomendable', 'covid_19', 'casa']","['cuarentena', 'poder', 'ver', 'serie', 'asesinato', 'valhalla', 'recomendable', 'covid_19', 'casa']"
1242626162473435136,1585100138000.0,2020-03-24 22:35:38,"{'type': 'Point', 'coordinates': [-33.4509101, -70.6505383]}",Vecino de Santiago Centro pone música desde su balcón y los demás departamentos disfrutan de la fiesta desde sus hogares. #QuedateEnTuCasa #coronavirus #COVIDー19 #CoronavirusChile  https://t.co/RMGJoyfuKV,es,"['quedateentucasa', 'coronavirus', 'covidー19', 'coronaviruschile']",[],ProfeRaulOpazo,2,0,0,"{'user_id': None, 'username': None}","['vecino', 'santiago', 'centro', 'pone', 'música', 'balcón', 'demás', 'departamentos', 'disfrutan', 'fiesta', 'hogares', 'quedateentucasa', 'coronavirus', 'covidー19', 'coronaviruschile']","['vecino', 'santiago', 'centro', 'poner', 'música', 'balcón', 'demás', 'departamento', 'disfrutan', 'fiesta', 'hogar', 'quedateentucasa', 'coronavirus', 'covidー19', 'coronaviruschile']"
